t,z,thrust,z_ref
0.656,0.49991,18.939,0.55
0.66,0.50014,18.958,0.55
0.664,0.50036,18.977,0.55
0.668,0.50057,18.995,0.55
0.672,0.50078,19.012,0.55
0.676,0.50099,19.029,0.55
0.68,0.50119,19.045,0.55
0.684,0.50138,19.061,0.55
0.688,0.50157,19.077,0.55
0.692,0.50176,19.092,0.55
0.696,0.50194,19.106,0.55
0.7,0.50212,19.12,0.55
0.704,0.5023,19.134,0.55
0.708,0.50247,19.147,0.55
0.712,0.50264,19.16,0.55
0.716,0.5028,19.173,0.55
0.72,0.50296,19.185,0.55
0.724,0.50312,19.197,0.55
0.728,0.50327,19.209,0.55
0.732,0.50342,19.22,0.55
0.736,0.50357,19.231,0.55
0.74,0.50372,19.241,0.55
0.744,0.50386,19.251,0.55
0.748,0.504,19.261,0.55
0.752,0.50414,19.271,0.55
0.756,0.50427,19.28,0.55
0.76,0.5044,19.289,0.55
0.764,0.50453,19.298,0.55
0.768,0.50466,19.307,0.55
0.772,0.50478,19.315,0.55
0.776,0.5049,19.323,0.55
0.78,0.50502,19.331,0.55
0.784,0.50514,19.339,0.55
0.788,0.50526,19.346,0.55
0.792,0.50537,19.353,0.55
0.796,0.50548,19.36,0.55
0.8,0.50559,19.367,0.55
0.804,0.5057,19.374,0.55
0.808,0.50581,19.38,0.55
0.812,0.50591,19.386,0.55
0.816,0.50601,19.392,0.55
0.82,0.50611,19.398,0.55
0.824,0.50621,19.404,0.55
0.828,0.50631,19.409,0.55
0.832,0.50641,19.415,0.55
0.836,0.5065,19.42,0.55
0.84,0.50659,19.425,0.55
0.844,0.50669,19.43,0.55
0.848,0.50678,19.435,0.55
0.852,0.50687,19.439,0.55
0.856,0.50695,19.444,0.55
0.86,0.50704,19.448,0.55
0.864,0.50713,19.452,0.55
0.868,0.50721,19.456,0.55
0.872,0.50729,19.46,0.55
0.876,0.50737,19.464,0.55
0.88,0.50746,19.468,0.55
0.884,0.50754,19.472,0.55
0.888,0.50761,19.475,0.55
0.892,0.50769,19.479,0.55
0.896,0.50777,19.482,0.55
0.9,0.50784,19.485,0.55
0.904,0.50792,19.488,0.55
0.908,0.50799,19.491,0.55
0.912,0.50807,19.494,0.55
0.916,0.50814,19.497,0.55
0.92,0.50821,19.5,0.55
0.924,0.50828,19.503,0.55
0.928,0.50835,19.505,0.55
0.932,0.50842,19.508,0.55
0.936,0.50849,19.511,0.55
0.94,0.50856,19.513,0.55
0.944,0.50862,19.515,0.55
0.948,0.50869,19.518,0.55
0.952,0.50876,19.52,0.55
0.956,0.50882,19.522,0.55
0.96,0.50889,19.524,0.55
0.964,0.50895,19.526,0.55
0.968,0.50901,19.528,0.55
0.972,0.50908,19.53,0.55
0.976,0.50914,19.532,0.55
0.98,0.5092,19.534,0.55
0.984,0.50926,19.535,0.55
0.988,0.50932,19.537,0.55
0.992,0.50938,19.539,0.55
0.996,0.50944,19.54,0.55
1,0.5095,19.542,0.55
1.004,0.50956,19.543,0.55
1.008,0.50962,19.545,0.55
1.012,0.50967,19.546,0.55
1.016,0.50973,19.548,0.55
1.02,0.50979,19.549,0.55
1.024,0.50984,19.55,0.55
1.028,0.5099,19.552,0.55
1.032,0.50996,19.553,0.55
1.036,0.51001,19.554,0.55
1.04,0.51007,19.555,0.55
1.044,0.51012,19.556,0.55
1.048,0.51018,19.557,0.55
1.052,0.51023,19.558,0.55
1.056,0.51028,19.56,0.55
1.06,0.51034,19.561,0.55
1.064,0.51039,19.561,0.55
1.068,0.51044,19.562,0.55
1.072,0.51049,19.563,0.55
1.076,0.51055,19.564,0.55
1.08,0.5106,19.565,0.55
1.084,0.51065,19.566,0.55
1.088,0.5107,19.567,0.55
1.092,0.51075,19.568,0.55
1.096,0.5108,19.568,0.55
1.1,0.51085,19.569,0.55
1.104,0.5109,19.57,0.55
1.108,0.51095,19.571,0.55
1.112,0.511,19.571,0.55
1.116,0.51105,19.572,0.55
1.12,0.5111,19.573,0.55
1.124,0.51115,19.573,0.55
1.128,0.5112,19.574,0.55
1.132,0.51125,19.574,0.55
1.136,0.51129,19.575,0.55
1.14,0.51134,19.575,0.55
1.144,0.51139,19.576,0.55
1.148,0.51144,19.577,0.55
1.152,0.51149,19.577,0.55
1.156,0.51153,19.578,0.55
1.16,0.51158,19.578,0.55
1.164,0.51163,19.579,0.55
1.168,0.51167,19.579,0.55
1.172,0.51172,19.579,0.55
1.176,0.51177,19.58,0.55
1.18,0.51181,19.58,0.55
1.184,0.51186,19.581,0.55
1.188,0.51191,19.581,0.55
1.192,0.51195,19.581,0.55
1.196,0.512,19.582,0.55
1.2,0.51204,19.582,0.55
1.204,0.51209,19.583,0.55
1.208,0.51213,19.583,0.55
1.212,0.51218,19.583,0.55
1.216,0.51222,19.584,0.55
1.22,0.51227,19.584,0.55
1.224,0.51231,19.584,0.55
1.228,0.51236,19.584,0.55
