t,z,thrust,z_ref
7.072,0.54267,19.599,0.55
7.076,0.54267,19.599,0.55
7.08,0.54268,19.599,0.55
7.084,0.54269,19.599,0.55
7.088,0.5427,19.599,0.55
7.092,0.54271,19.599,0.55
7.096,0.54272,19.599,0.55
7.1,0.54272,19.599,0.55
7.104,0.54273,19.599,0.55
7.108,0.54274,19.599,0.55
7.112,0.54275,19.599,0.55
7.116,0.54276,19.599,0.55
7.12,0.54276,19.599,0.55
7.124,0.54277,19.599,0.55
7.128,0.54278,19.599,0.55
7.132,0.54279,19.599,0.55
7.136,0.5428,19.599,0.55
7.14,0.5428,19.599,0.55
7.144,0.54281,19.599,0.55
7.148,0.54282,19.599,0.55
7.152,0.54283,19.599,0.55
7.156,0.54284,19.599,0.55
7.16,0.54284,19.599,0.55
7.164,0.54285,19.599,0.55
7.168,0.54286,19.599,0.55
7.172,0.54287,19.599,0.55
7.176,0.54288,19.599,0.55
7.18,0.54288,19.599,0.55
7.184,0.54289,19.599,0.55
7.188,0.5429,19.599,0.55
7.192,0.54291,19.599,0.55
7.196,0.54292,19.599,0.55
7.2,0.54292,19.599,0.55
7.204,0.54293,19.599,0.55
7.208,0.54294,19.599,0.55
7.212,0.54295,19.599,0.55
7.216,0.54296,19.599,0.55
7.22,0.54296,19.599,0.55
7.224,0.54297,19.599,0.55
7.228,0.54298,19.599,0.55
7.232,0.54299,19.599,0.55
7.236,0.543,19.599,0.55
7.24,0.543,19.599,0.55
7.244,0.54301,19.599,0.55
7.248,0.54302,19.599,0.55
7.252,0.54303,19.599,0.55
7.256,0.54303,19.599,0.55
7.26,0.54304,19.599,0.55
7.264,0.54305,19.599,0.55
7.268,0.54306,19.599,0.55
7.272,0.54307,19.599,0.55
7.276,0.54307,19.599,0.55
7.28,0.54308,19.599,0.55
7.284,0.54309,19.599,0.55
7.288,0.5431,19.599,0.55
7.292,0.5431,19.599,0.55
7.296,0.54311,19.599,0.55
7.3,0.54312,19.599,0.55
7.304,0.54313,19.599,0.55
7.308,0.54313,19.599,0.55
7.312,0.54314,19.599,0.55
7.316,0.54315,19.599,0.55
7.32,0.54316,19.599,0.55
7.324,0.54317,19.599,0.55
7.328,0.54317,19.599,0.55
7.332,0.54318,19.599,0.55
7.336,0.54319,19.599,0.55
7.34,0.5432,19.599,0.55
7.344,0.5432,19.599,0.55
7.348,0.54321,19.599,0.55
7.352,0.54322,19.599,0.55
7.356,0.54323,19.599,0.55
7.36,0.54323,19.599,0.55
7.364,0.54324,19.599,0.55
7.368,0.54325,19.599,0.55
7.372,0.54326,19.599,0.55
7.376,0.54326,19.599,0.55
7.38,0.54327,19.599,0.55
7.384,0.54328,19.599,0.55
7.388,0.54329,19.599,0.55
7.392,0.54329,19.599,0.55
7.396,0.5433,19.599,0.55
7.4,0.54331,19.599,0.55
7.404,0.54332,19.599,0.55
7.408,0.54332,19.599,0.55
7.412,0.54333,19.599,0.55
7.416,0.54334,19.599,0.55
7.42,0.54335,19.599,0.55
7.424,0.54335,19.599,0.55
7.428,0.54336,19.599,0.55
7.432,0.54337,19.599,0.55
7.436,0.54338,19.599,0.55
7.44,0.54338,19.599,0.55
7.444,0.54339,19.599,0.55
7.448,0.5434,19.599,0.55
7.452,0.54341,19.599,0.55
7.456,0.54341,19.599,0.55
7.46,0.54342,19.599,0.55
7.464,0.54343,19.599,0.55
7.468,0.54343,19.599,0.55
7.472,0.54344,19.599,0.55
7.476,0.54345,19.599,0.55
7.48,0.54346,19.599,0.55
7.484,0.54346,19.599,0.55
7.488,0.54347,19.599,0.55
7.492,0.54348,19.599,0.55
7.496,0.54349,19.599,0.55
7.5,0.54349,19.599,0.55
7.504,0.5435,19.599,0.55
7.508,0.54351,19.599,0.55
7.512,0.54352,19.599,0.55
7.516,0.54352,19.599,0.55
7.52,0.54353,19.599,0.55
7.524,0.54354,19.599,0.55
7.528,0.54354,19.599,0.55
7.532,0.54355,19.599,0.55
7.536,0.54356,19.599,0.55
7.54,0.54357,19.599,0.55
7.544,0.54357,19.599,0.55
7.548,0.54358,19.599,0.55
7.552,0.54359,19.599,0.55
7.556,0.54359,19.599,0.55
7.56,0.5436,19.599,0.55
7.564,0.54361,19.599,0.55
7.568,0.54362,19.599,0.55
7.572,0.54362,19.599,0.55
7.576,0.54363,19.599,0.55
7.58,0.54364,19.599,0.55
7.584,0.54364,19.599,0.55
7.588,0.54365,19.599,0.55
7.592,0.54366,19.599,0.55
7.596,0.54367,19.599,0.55
7.6,0.54367,19.599,0.55
7.604,0.54368,19.599,0.55
7.608,0.54369,19.599,0.55
7.612,0.54369,19.599,0.55
7.616,0.5437,19.599,0.55
7.62,0.54371,19.599,0.55
7.624,0.54371,19.599,0.55
7.628,0.54372,19.599,0.55
7.632,0.54373,19.599,0.55
7.636,0.54374,19.599,0.55
7.64,0.54374,19.599,0.55
7.644,0.54375,19.599,0.55
7.648,0.54376,19.599,0.55
7.652,0.54376,19.599,0.55
7.656,0.54377,19.599,0.55
7.66,0.54378,19.599,0.55
7.664,0.54378,19.599,0.55
7.668,0.54379,19.599,0.55
7.672,0.5438,19.599,0.55
7.676,0.54381,19.599,0.55
7.68,0.54381,19.599,0.55
7.684,0.54382,19.599,0.55
7.688,0.54383,19.599,0.55
7.692,0.54383,19.599,0.55
7.696,0.54384,19.599,0.55
7.7,0.54385,19.599,0.55
7.704,0.54385,19.599,0.55
7.708,0.54386,19.599,0.55
7.712,0.54387,19.599,0.55
7.716,0.54387,19.599,0.55
7.72,0.54388,19.599,0.55
7.724,0.54389,19.599,0.55
7.728,0.54389,19.599,0.55
7.732,0.5439,19.599,0.55
7.736,0.54391,19.599,0.55
7.74,0.54392,19.599,0.55
7.744,0.54392,19.599,0.55
7.748,0.54393,19.599,0.55
7.752,0.54394,19.599,0.55
7.756,0.54394,19.599,0.55
7.76,0.54395,19.599,0.55
7.764,0.54396,19.599,0.55
7.768,0.54396,19.599,0.55
7.772,0.54397,19.599,0.55
7.776,0.54398,19.599,0.55
7.78,0.54398,19.599,0.55
7.784,0.54399,19.599,0.55
7.788,0.544,19.599,0.55
7.792,0.544,19.599,0.55
7.796,0.54401,19.599,0.55
7.8,0.54402,19.599,0.55
7.804,0.54402,19.599,0.55
7.808,0.54403,19.599,0.55
7.812,0.54404,19.599,0.55
7.816,0.54404,19.599,0.55
7.82,0.54405,19.599,0.55
7.824,0.54406,19.599,0.55
7.828,0.54406,19.599,0.55
7.832,0.54407,19.599,0.55
7.836,0.54408,19.599,0.55
7.84,0.54408,19.599,0.55
7.844,0.54409,19.599,0.55
7.848,0.5441,19.599,0.55
7.852,0.5441,19.599,0.55
7.856,0.54411,19.599,0.55
7.86,0.54412,19.599,0.55
7.864,0.54412,19.599,0.55
7.868,0.54413,19.599,0.55
7.872,0.54414,19.599,0.55
7.876,0.54414,19.599,0.55
7.88,0.54415,19.599,0.55
7.884,0.54416,19.599,0.55
7.888,0.54416,19.599,0.55
7.892,0.54417,19.599,0.55
7.896,0.54417,19.599,0.55
7.9,0.54418,19.599,0.55
7.904,0.54419,19.599,0.55
7.908,0.54419,19.599,0.55
7.912,0.5442,19.599,0.55
7.916,0.54421,19.599,0.55
7.92,0.54421,19.599,0.55
7.924,0.54422,19.599,0.55
7.928,0.54423,19.599,0.55
7.932,0.54423,19.599,0.55
7.936,0.54424,19.599,0.55
7.94,0.54425,19.599,0.55
7.944,0.54425,19.599,0.55
7.948,0.54426,19.599,0.55
7.952,0.54427,19.599,0.55
7.956,0.54427,19.599,0.55
7.96,0.54428,19.599,0.55
7.964,0.54428,19.599,0.55
7.968,0.54429,19.599,0.55
7.972,0.5443,19.599,0.55
7.976,0.5443,19.599,0.55
7.98,0.54431,19.599,0.55
7.984,0.54432,19.599,0.55
7.988,0.54432,19.599,0.55
7.992,0.54433,19.599,0.55
7.996,0.54434,19.599,0.55
8,0.54434,19.599,0.55
8.004,0.54435,19.599,0.55
8.008,0.54435,19.599,0.55
8.012,0.54436,19.599,0.55
8.016,0.54437,19.599,0.55
8.02,0.54437,19.599,0.55
8.024,0.54438,19.599,0.55
8.028,0.54439,19.599,0.55
8.032,0.54439,19.599,0.55
8.036,0.5444,19.599,0.55
8.04,0.5444,19.599,0.55
8.044,0.54441,19.599,0.55
8.048,0.54442,19.599,0.55
8.052,0.54442,19.599,0.55
8.056,0.54443,19.599,0.55
8.06,0.54444,19.599,0.55
8.064,0.54444,19.599,0.55
8.068,0.54445,19.599,0.55
8.072,0.54445,19.599,0.55
8.076,0.54446,19.599,0.55
8.08,0.54447,19.599,0.55
8.084,0.54447,19.599,0.55
8.088,0.54448,19.599,0.55
8.092,0.54449,19.599,0.55
8.096,0.54449,19.599,0.55
8.1,0.5445,19.599,0.55
8.104,0.5445,19.599,0.55
8.108,0.54451,19.599,0.55
8.112,0.54452,19.599,0.55
8.116,0.54452,19.599,0.55
8.12,0.54453,19.599,0.55
8.124,0.54453,19.599,0.55
8.128,0.54454,19.599,0.55
8.132,0.54455,19.599,0.55
8.136,0.54455,19.599,0.55
8.14,0.54456,19.599,0.55
8.144,0.54457,19.599,0.55
8.148,0.54457,19.599,0.55
8.152,0.54458,19.599,0.55
8.156,0.54458,19.599,0.55
8.16,0.54459,19.599,0.55
8.164,0.5446,19.599,0.55
8.168,0.5446,19.599,0.55
8.172,0.54461,19.599,0.55
8.176,0.54461,19.599,0.55
8.18,0.54462,19.599,0.55
8.184,0.54463,19.599,0.55
8.188,0.54463,19.599,0.55
8.192,0.54464,19.599,0.55
8.196,0.54464,19.599,0.55
8.2,0.54465,19.599,0.55
8.204,0.54466,19.599,0.55
8.208,0.54466,19.599,0.55
8.212,0.54467,19.599,0.55
8.216,0.54467,19.599,0.55
8.22,0.54468,19.599,0.55
8.224,0.54469,19.599,0.55
8.228,0.54469,19.599,0.55
8.232,0.5447,19.599,0.55
8.236,0.5447,19.599,0.55
8.24,0.54471,19.599,0.55
8.244,0.54471,19.599,0.55
8.248,0.54472,19.599,0.55
8.252,0.54473,19.599,0.55
8.256,0.54473,19.599,0.55
8.26,0.54474,19.599,0.55
8.264,0.54474,19.599,0.55
8.268,0.54475,19.599,0.55
8.272,0.54476,19.599,0.55
8.276,0.54476,19.599,0.55
8.28,0.54477,19.599,0.55
8.284,0.54477,19.599,0.55
8.288,0.54478,19.599,0.55
8.292,0.54479,19.599,0.55
8.296,0.54479,19.599,0.55
8.3,0.5448,19.599,0.55
8.304,0.5448,19.599,0.55
8.308,0.54481,19.599,0.55
8.312,0.54481,19.599,0.55
8.316,0.54482,19.599,0.55
8.32,0.54483,19.599,0.55
8.324,0.54483,19.599,0.55
8.328,0.54484,19.599,0.55
8.332,0.54484,19.599,0.55
8.336,0.54485,19.599,0.55
8.34,0.54485,19.599,0.55
8.344,0.54486,19.599,0.55
8.348,0.54487,19.599,0.55
8.352,0.54487,19.599,0.55
8.356,0.54488,19.599,0.55
8.36,0.54488,19.599,0.55
8.364,0.54489,19.599,0.55
8.368,0.54489,19.599,0.55
8.372,0.5449,19.599,0.55
8.376,0.54491,19.599,0.55
8.38,0.54491,19.599,0.55
8.384,0.54492,19.599,0.55
8.388,0.54492,19.599,0.55
8.392,0.54493,19.599,0.55
8.396,0.54493,19.599,0.55
8.4,0.54494,19.599,0.55
8.404,0.54495,19.599,0.55
8.408,0.54495,19.599,0.55
8.412,0.54496,19.599,0.55
8.416,0.54496,19.599,0.55
8.42,0.54497,19.599,0.55
8.424,0.54497,19.599,0.55
8.428,0.54498,19.599,0.55
8.432,0.54499,19.599,0.55
8.436,0.54499,19.599,0.55
8.44,0.545,19.599,0.55
8.444,0.545,19.599,0.55
8.448,0.54501,19.599,0.55
8.452,0.54501,19.599,0.55
8.456,0.54502,19.599,0.55
8.46,0.54502,19.599,0.55
8.464,0.54503,19.599,0.55
8.468,0.54504,19.599,0.55
8.472,0.54504,19.599,0.55
8.476,0.54505,19.599,0.55
8.48,0.54505,19.599,0.55
8.484,0.54506,19.599,0.55
8.488,0.54506,19.599,0.55
8.492,0.54507,19.599,0.55
8.496,0.54507,19.599,0.55
8.5,0.54508,19.599,0.55
8.504,0.54509,19.599,0.55
8.508,0.54509,19.599,0.55
8.512,0.5451,19.599,0.55
8.516,0.5451,19.599,0.55
8.52,0.54511,19.599,0.55
8.524,0.54511,19.599,0.55
8.528,0.54512,19.599,0.55
8.532,0.54512,19.599,0.55
8.536,0.54513,19.599,0.55
8.54,0.54513,19.599,0.55
8.544,0.54514,19.599,0.55
8.548,0.54515,19.599,0.55
8.552,0.54515,19.599,0.55
8.556,0.54516,19.599,0.55
8.56,0.54516,19.599,0.55
8.564,0.54517,19.599,0.55
8.568,0.54517,19.599,0.55
8.572,0.54518,19.599,0.55
8.576,0.54518,19.599,0.55
8.58,0.54519,19.599,0.55
8.584,0.54519,19.599,0.55
8.588,0.5452,19.599,0.55
8.592,0.5452,19.599,0.55
8.596,0.54521,19.599,0.55
8.6,0.54522,19.599,0.55
8.604,0.54522,19.599,0.55
8.608,0.54523,19.599,0.55
8.612,0.54523,19.599,0.55
8.616,0.54524,19.599,0.55
8.62,0.54524,19.599,0.55
8.624,0.54525,19.599,0.55
8.628,0.54525,19.599,0.55
8.632,0.54526,19.599,0.55
8.636,0.54526,19.599,0.55
8.64,0.54527,19.599,0.55
8.644,0.54527,19.599,0.55
8.648,0.54528,19.599,0.55
8.652,0.54528,19.599,0.55
8.656,0.54529,19.599,0.55
8.66,0.54529,19.599,0.55
8.664,0.5453,19.599,0.55
8.668,0.54531,19.599,0.55
8.672,0.54531,19.599,0.55
8.676,0.54532,19.599,0.55
8.68,0.54532,19.599,0.55
8.684,0.54533,19.599,0.55
8.688,0.54533,19.599,0.55
8.692,0.54534,19.599,0.55
8.696,0.54534,19.599,0.55
8.7,0.54535,19.599,0.55
8.704,0.54535,19.599,0.55
8.708,0.54536,19.599,0.55
8.712,0.54536,19.599,0.55
8.716,0.54537,19.599,0.55
8.72,0.54537,19.599,0.55
8.724,0.54538,19.599,0.55
8.728,0.54538,19.599,0.55
8.732,0.54539,19.599,0.55
8.736,0.54539,19.599,0.55
8.74,0.5454,19.599,0.55
8.744,0.5454,19.599,0.55
8.748,0.54541,19.599,0.55
8.752,0.54541,19.599,0.55
8.756,0.54542,19.599,0.55
8.76,0.54542,19.599,0.55
8.764,0.54543,19.599,0.55
8.768,0.54543,19.599,0.55
8.772,0.54544,19.599,0.55
8.776,0.54545,19.599,0.55
8.78,0.54545,19.599,0.55
8.784,0.54546,19.599,0.55
8.788,0.54546,19.599,0.55
8.792,0.54547,19.599,0.55
8.796,0.54547,19.599,0.55
8.8,0.54548,19.599,0.55
8.804,0.54548,19.599,0.55
8.808,0.54549,19.599,0.55
8.812,0.54549,19.599,0.55
8.816,0.5455,19.599,0.55
8.82,0.5455,19.599,0.55
8.824,0.54551,19.599,0.55
8.828,0.54551,19.599,0.55
8.832,0.54552,19.599,0.55
8.836,0.54552,19.599,0.55
8.84,0.54553,19.599,0.55
8.844,0.54553,19.599,0.55
8.848,0.54554,19.599,0.55
8.852,0.54554,19.599,0.55
8.856,0.54555,19.599,0.55
8.86,0.54555,19.599,0.55
8.864,0.54556,19.599,0.55
8.868,0.54556,19.599,0.55
8.872,0.54557,19.599,0.55
8.876,0.54557,19.599,0.55
8.88,0.54558,19.599,0.55
8.884,0.54558,19.599,0.55
8.888,0.54559,19.599,0.55
8.892,0.54559,19.599,0.55
8.896,0.5456,19.599,0.55
8.9,0.5456,19.599,0.55
8.904,0.54561,19.599,0.55
8.908,0.54561,19.599,0.55
8.912,0.54561,19.599,0.55
8.916,0.54562,19.599,0.55
8.92,0.54562,19.599,0.55
8.924,0.54563,19.599,0.55
8.928,0.54563,19.599,0.55
8.932,0.54564,19.599,0.55
8.936,0.54564,19.599,0.55
8.94,0.54565,19.599,0.55
8.944,0.54565,19.599,0.55
8.948,0.54566,19.599,0.55
8.952,0.54566,19.599,0.55
8.956,0.54567,19.599,0.55
8.96,0.54567,19.599,0.55
8.964,0.54568,19.599,0.55
8.968,0.54568,19.599,0.55
8.972,0.54569,19.599,0.55
8.976,0.54569,19.599,0.55
8.98,0.5457,19.599,0.55
8.984,0.5457,19.599,0.55
8.988,0.54571,19.599,0.55
8.992,0.54571,19.599,0.55
8.996,0.54572,19.599,0.55
9,0.54572,19.599,0.55
9.004,0.54573,19.599,0.55
9.008,0.54573,19.599,0.55
9.012,0.54574,19.599,0.55
9.016,0.54574,19.599,0.55
9.02,0.54575,19.599,0.55
9.024,0.54575,19.599,0.55
9.028,0.54575,19.599,0.55
9.032,0.54576,19.599,0.55
9.036,0.54576,19.599,0.55
9.04,0.54577,19.599,0.55
9.044,0.54577,19.599,0.55
9.048,0.54578,19.599,0.55
9.052,0.54578,19.599,0.55
9.056,0.54579,19.599,0.55
9.06,0.54579,19.599,0.55
9.064,0.5458,19.599,0.55
9.068,0.5458,19.599,0.55
9.072,0.54581,19.599,0.55
9.076,0.54581,19.599,0.55
9.08,0.54582,19.599,0.55
9.084,0.54582,19.599,0.55
9.088,0.54583,19.599,0.55
9.092,0.54583,19.599,0.55
9.096,0.54583,19.599,0.55
9.1,0.54584,19.599,0.55
9.104,0.54584,19.599,0.55
9.108,0.54585,19.599,0.55
9.112,0.54585,19.599,0.55
9.116,0.54586,19.599,0.55
9.12,0.54586,19.599,0.55
9.124,0.54587,19.599,0.55
9.128,0.54587,19.599,0.55
9.132,0.54588,19.599,0.55
9.136,0.54588,19.599,0.55
9.14,0.54589,19.599,0.55
9.144,0.54589,19.599,0.55
9.148,0.54589,19.599,0.55
9.152,0.5459,19.599,0.55
9.156,0.5459,19.599,0.55
9.16,0.54591,19.599,0.55
9.164,0.54591,19.599,0.55
9.168,0.54592,19.599,0.55
9.172,0.54592,19.599,0.55
9.176,0.54593,19.599,0.55
9.18,0.54593,19.599,0.55
9.184,0.54594,19.599,0.55
9.188,0.54594,19.599,0.55
9.192,0.54595,19.599,0.55
9.196,0.54595,19.599,0.55
9.2,0.54595,19.599,0.55
9.204,0.54596,19.599,0.55
9.208,0.54596,19.599,0.55
9.212,0.54597,19.599,0.55
9.216,0.54597,19.599,0.55
9.22,0.54598,19.599,0.55
9.224,0.54598,19.599,0.55
9.228,0.54599,19.599,0.55
9.232,0.54599,19.599,0.55
9.236,0.54599,19.599,0.55
9.24,0.546,19.599,0.55
9.244,0.546,19.599,0.55
9.248,0.54601,19.599,0.55
9.252,0.54601,19.599,0.55
9.256,0.54602,19.599,0.55
9.26,0.54602,19.599,0.55
9.264,0.54603,19.599,0.55
9.268,0.54603,19.599,0.55
9.272,0.54603,19.599,0.55
9.276,0.54604,19.599,0.55
9.28,0.54604,19.599,0.55
9.284,0.54605,19.599,0.55
9.288,0.54605,19.599,0.55
9.292,0.54606,19.599,0.55
9.296,0.54606,19.599,0.55
9.3,0.54607,19.599,0.55
9.304,0.54607,19.599,0.55
9.308,0.54607,19.599,0.55
9.312,0.54608,19.599,0.55
9.316,0.54608,19.599,0.55
9.32,0.54609,19.599,0.55
9.324,0.54609,19.599,0.55
9.328,0.5461,19.599,0.55
9.332,0.5461,19.599,0.55
9.336,0.5461,19.599,0.55
9.34,0.54611,19.599,0.55
9.344,0.54611,19.599,0.55
9.348,0.54612,19.599,0.55
9.352,0.54612,19.599,0.55
9.356,0.54613,19.599,0.55
9.36,0.54613,19.599,0.55
9.364,0.54614,19.599,0.55
9.368,0.54614,19.599,0.55
9.372,0.54614,19.599,0.55
9.376,0.54615,19.599,0.55
9.38,0.54615,19.599,0.55
9.384,0.54616,19.599,0.55
9.388,0.54616,19.599,0.55
9.392,0.54617,19.599,0.55
9.396,0.54617,19.599,0.55
9.4,0.54617,19.599,0.55
9.404,0.54618,19.599,0.55
9.408,0.54618,19.599,0.55
9.412,0.54619,19.599,0.55
9.416,0.54619,19.599,0.55
9.42,0.5462,19.599,0.55
9.424,0.5462,19.599,0.55
9.428,0.5462,19.599,0.55
9.432,0.54621,19.599,0.55
9.436,0.54621,19.599,0.55
9.44,0.54622,19.599,0.55
9.444,0.54622,19.599,0.55
9.448,0.54623,19.599,0.55
9.452,0.54623,19.599,0.55
9.456,0.54623,19.599,0.55
9.46,0.54624,19.599,0.55
9.464,0.54624,19.599,0.55
9.468,0.54625,19.599,0.55
9.472,0.54625,19.599,0.55
9.476,0.54625,19.599,0.55
9.48,0.54626,19.599,0.55
9.484,0.54626,19.599,0.55
9.488,0.54627,19.599,0.55
9.492,0.54627,19.599,0.55
9.496,0.54628,19.599,0.55
9.5,0.54628,19.599,0.55
9.504,0.54628,19.599,0.55
9.508,0.54629,19.599,0.55
9.512,0.54629,19.599,0.55
9.516,0.5463,19.599,0.55
9.52,0.5463,19.599,0.55
9.524,0.5463,19.599,0.55
9.528,0.54631,19.599,0.55
9.532,0.54631,19.599,0.55
9.536,0.54632,19.599,0.55
9.54,0.54632,19.599,0.55
9.544,0.54632,19.599,0.55
9.548,0.54633,19.599,0.55
9.552,0.54633,19.599,0.55
9.556,0.54634,19.599,0.55
9.56,0.54634,19.599,0.55
9.564,0.54635,19.599,0.55
9.568,0.54635,19.599,0.55
9.572,0.54635,19.599,0.55
9.576,0.54636,19.599,0.55
9.58,0.54636,19.599,0.55
9.584,0.54637,19.599,0.55
9.588,0.54637,19.599,0.55
9.592,0.54637,19.599,0.55
9.596,0.54638,19.599,0.55
9.6,0.54638,19.599,0.55
9.604,0.54639,19.599,0.55
9.608,0.54639,19.599,0.55
9.612,0.54639,19.599,0.55
9.616,0.5464,19.599,0.55
9.62,0.5464,19.599,0.55
9.624,0.54641,19.599,0.55
9.628,0.54641,19.599,0.55
9.632,0.54641,19.599,0.55
9.636,0.54642,19.599,0.55
9.64,0.54642,19.599,0.55
9.644,0.54643,19.599,0.55
9.648,0.54643,19.599,0.55
9.652,0.54643,19.599,0.55
9.656,0.54644,19.599,0.55
9.66,0.54644,19.599,0.55
9.664,0.54645,19.599,0.55
9.668,0.54645,19.599,0.55
9.672,0.54645,19.599,0.55
9.676,0.54646,19.599,0.55
9.68,0.54646,19.599,0.55
9.684,0.54647,19.599,0.55
9.688,0.54647,19.599,0.55
9.692,0.54647,19.599,0.55
9.696,0.54648,19.599,0.55
9.7,0.54648,19.599,0.55
9.704,0.54649,19.599,0.55
9.708,0.54649,19.599,0.55
9.712,0.54649,19.599,0.55
9.716,0.5465,19.599,0.55
9.72,0.5465,19.599,0.55
9.724,0.54651,19.599,0.55
9.728,0.54651,19.599,0.55
9.732,0.54651,19.599,0.55
9.736,0.54652,19.599,0.55
9.74,0.54652,19.599,0.55
9.744,0.54652,19.599,0.55
9.748,0.54653,19.599,0.55
9.752,0.54653,19.599,0.55
9.756,0.54654,19.599,0.55
9.76,0.54654,19.599,0.55
9.764,0.54654,19.599,0.55
9.768,0.54655,19.599,0.55
9.772,0.54655,19.599,0.55
9.776,0.54656,19.599,0.55
9.78,0.54656,19.599,0.55
9.784,0.54656,19.599,0.55
9.788,0.54657,19.599,0.55
9.792,0.54657,19.599,0.55
9.796,0.54657,19.599,0.55
9.8,0.54658,19.599,0.55
9.804,0.54658,19.599,0.55
9.808,0.54659,19.599,0.55
9.812,0.54659,19.599,0.55
9.816,0.54659,19.599,0.55
9.82,0.5466,19.599,0.55
9.824,0.5466,19.599,0.55
9.828,0.54661,19.599,0.55
9.832,0.54661,19.599,0.55
9.836,0.54661,19.599,0.55
9.84,0.54662,19.599,0.55
9.844,0.54662,19.599,0.55
9.848,0.54662,19.599,0.55
9.852,0.54663,19.599,0.55
9.856,0.54663,19.599,0.55
9.86,0.54664,19.599,0.55
9.864,0.54664,19.599,0.55
9.868,0.54664,19.599,0.55
9.872,0.54665,19.599,0.55
9.876,0.54665,19.599,0.55
9.88,0.54665,19.599,0.55
9.884,0.54666,19.599,0.55
9.888,0.54666,19.599,0.55
9.892,0.54667,19.599,0.55
9.896,0.54667,19.599,0.55
9.9,0.54667,19.599,0.55
9.904,0.54668,19.599,0.55
9.908,0.54668,19.599,0.55
9.912,0.54668,19.599,0.55
9.916,0.54669,19.599,0.55
9.92,0.54669,19.599,0.55
9.924,0.5467,19.599,0.55
9.928,0.5467,19.599,0.55
9.932,0.5467,19.599,0.55
9.936,0.54671,19.599,0.55
9.94,0.54671,19.599,0.55
9.944,0.54671,19.599,0.55
9.948,0.54672,19.599,0.55
9.952,0.54672,19.599,0.55
9.956,0.54672,19.599,0.55
9.96,0.54673,19.599,0.55
9.964,0.54673,19.599,0.55
9.968,0.54674,19.599,0.55
9.972,0.54674,19.599,0.55
9.976,0.54674,19.599,0.55
9.98,0.54675,19.599,0.55
9.984,0.54675,19.599,0.55
9.988,0.54675,19.599,0.55
9.992,0.54676,19.599,0.55
9.996,0.54676,19.599,0.55
10,0.54676,19.599,0.55
10.004,0.54677,19.599,0.55
10.008,0.54677,19.599,0.55
10.012,0.54678,19.599,0.55
10.016,0.54678,19.599,0.55
10.02,0.54678,19.599,0.55
10.024,0.54679,19.599,0.55
10.028,0.54679,19.599,0.55
10.032,0.54679,19.599,0.55
10.036,0.5468,19.599,0.55
10.04,0.5468,19.6,0.55
10.044,0.5468,19.6,0.55
10.048,0.54681,19.6,0.55
10.052,0.54681,19.6,0.55
10.056,0.54681,19.6,0.55
10.06,0.54682,19.6,0.55
10.064,0.54682,19.6,0.55
10.068,0.54683,19.6,0.55
10.072,0.54683,19.6,0.55
10.076,0.54683,19.6,0.55
10.08,0.54684,19.6,0.55
10.084,0.54684,19.6,0.55
10.088,0.54684,19.6,0.55
10.092,0.54685,19.6,0.55
10.096,0.54685,19.6,0.55
10.1,0.54685,19.6,0.55
10.104,0.54686,19.6,0.55
10.108,0.54686,19.6,0.55
10.112,0.54686,19.6,0.55
10.116,0.54687,19.6,0.55
10.12,0.54687,19.6,0.55
10.124,0.54687,19.6,0.55
10.128,0.54688,19.6,0.55
10.132,0.54688,19.6,0.55
10.136,0.54689,19.6,0.55
10.14,0.54689,19.6,0.55
10.144,0.54689,19.6,0.55
10.148,0.5469,19.6,0.55
10.152,0.5469,19.6,0.55
10.156,0.5469,19.6,0.55
10.16,0.54691,19.6,0.55
10.164,0.54691,19.6,0.55
10.168,0.54691,19.6,0.55
10.172,0.54692,19.6,0.55
10.176,0.54692,19.6,0.55
10.18,0.54692,19.6,0.55
10.184,0.54693,19.6,0.55
10.188,0.54693,19.6,0.55
10.192,0.54693,19.6,0.55
10.196,0.54694,19.6,0.55
10.2,0.54694,19.6,0.55
10.204,0.54694,19.6,0.55
10.208,0.54695,19.6,0.55
10.212,0.54695,19.6,0.55
10.216,0.54695,19.6,0.55
10.22,0.54696,19.6,0.55
10.224,0.54696,19.6,0.55
10.228,0.54696,19.6,0.55
10.232,0.54697,19.6,0.55
10.236,0.54697,19.6,0.55
10.24,0.54697,19.6,0.55
10.244,0.54698,19.6,0.55
10.248,0.54698,19.6,0.55
10.252,0.54698,19.6,0.55
10.256,0.54699,19.6,0.55
10.26,0.54699,19.6,0.55
10.264,0.54699,19.6,0.55
10.268,0.547,19.6,0.55
10.272,0.547,19.6,0.55
10.276,0.547,19.6,0.55
10.28,0.54701,19.6,0.55
10.284,0.54701,19.6,0.55
10.288,0.54701,19.6,0.55
10.292,0.54702,19.6,0.55
10.296,0.54702,19.6,0.55
10.3,0.54702,19.6,0.55
10.304,0.54703,19.6,0.55
10.308,0.54703,19.6,0.55
10.312,0.54703,19.6,0.55
10.316,0.54704,19.6,0.55
10.32,0.54704,19.6,0.55
10.324,0.54704,19.6,0.55
10.328,0.54705,19.6,0.55
10.332,0.54705,19.6,0.55
10.336,0.54705,19.6,0.55
10.34,0.54706,19.6,0.55
10.344,0.54706,19.6,0.55
10.348,0.54706,19.6,0.55
10.352,0.54707,19.6,0.55
10.356,0.54707,19.6,0.55
10.36,0.54707,19.6,0.55
