Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.37817,-0.893,0,0,0,0.121556,-0.0745723,0.0162547,-0.0012424,0.066,0,0,0,-3.46945e-17,2.60209e-17,-6.93889e-18,5.96311e-19,0.53,0,0,0,0.0210035,-0.0109411,0.0020064,-0.000130221,0,0,0,0,0,0,0,0
0.702554,0.05,0.167846,-0.150447,0.00219013,-0.373229,1.11875,-0.987765,0.281708,0.066,6.65539e-17,-3.59153e-17,-2.24306e-17,-3.55271e-15,1.42109e-14,-1.42109e-14,1.77636e-15,0.78,0.0559407,-0.063401,-0.0113543,0.245196,-1.20859,1.75496,-0.804633,0,0,0,0,0,0,0,0
0.849847,0.1,0.0275004,0.0312238,0.0268347,0.611693,-1.93752,1.97488,-0.676434,0.066,-1.12968e-17,9.83974e-18,1.13913e-17,0,-1.77636e-15,1.77636e-15,0,0.78,-0.0570873,-0.0310683,0.022643,-0.399126,1.43762,-1.57024,0.560696,0,0,0,0,0,0,0,0
0.705447,0.15,0.0561413,0.0131397,0.00632427,-0.590079,2.15842,-2.60298,1.05228,0.066,5.28e-18,1.16169e-17,-1.12504e-18,0,0,0,0,0.74,0.0108757,0.0546142,0.00958458,1.17739,-4.35231,5.23802,-2.12769,0,0,0,0,0,0,0,0
0.713172,0.2,0.107491,0.0330406,-0.0725083,0.595139,-3.1005,4.50983,-2.0513,0.066,-4.50774e-18,5.51919e-18,8.54211e-18,0,0,0,0,0.77,0.02133,-0.0367202,0.00750075,-0.496188,1.77427,-2.11569,0.854003,0,0,0,0,0,0,0,0
