Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.38755,-0.893,0,0,0,0.118925,-0.0726111,0.0157601,-0.00119989,0.066,0,0,0,3.46945e-18,-1.73472e-18,4.33681e-19,0,0.78,0,0,0,-0.00553042,0.00393677,-0.000919251,7.05686e-05,0,0,0,0,0,0,0,0
0.628224,0.05,0.172838,-0.148069,0.00169734,-0.103711,-0.299694,1.30955,-0.921484,0.066,-1.21037e-17,8.37319e-18,1.50148e-17,0,7.10543e-15,-1.42109e-14,7.10543e-15,0.78,0.0181969,-0.00512537,-0.0126163,0.506423,-2.49009,3.71322,-1.80647,0,0,0,0,0,0,0,0
0.849847,0.1,0.0248808,0.032581,0.028478,0.629667,-1.97708,2.00274,-0.682988,0.066,2.4319e-17,-5.24997e-18,-1.86075e-17,-8.88178e-16,1.77636e-15,-1.77636e-15,8.88178e-16,0.78,-0.0374821,-0.0400912,-0.00274636,-0.594512,2.00492,-2.09235,0.724905,0,0,0,0,0,0,0,0
0.705447,0.15,0.0571665,0.0107562,0.00573106,-0.584338,2.15324,-2.602,1.05267,0.066,-9.12718e-18,2.26517e-17,7.01991e-18,0,0,0,0,0.74,0.00433394,0.059627,0.00581928,1.37652,-4.94716,5.88099,-2.37143,0,0,0,0,0,0,0,0
0.713172,0.2,0.107277,0.0334192,-0.0724419,0.599168,-3.11621,4.52907,-2.05916,0.066,-8.77887e-19,1.05277e-19,5.77403e-18,0,0,0,0,0.77,0.0229805,-0.0391336,0.00707762,-0.53737,1.92333,-2.29316,0.925488,0,0,0,0,0,0,0,0
