Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.37817,-0.893,0,0,0,0.11903,-0.0728482,0.0158632,-0.00121206,0.066,0,0,0,-3.1225e-17,2.42861e-17,-6.07153e-18,5.42101e-19,0.53,0,0,0,0.0322115,-0.0199037,0.0043969,-0.000343212,0,0,0,0,0,0,0,0
0.702554,0.05,0.183141,-0.143289,0.00121379,-1.21913,3.70564,-3.85408,1.39485,0.066,5.74094e-17,-3.68783e-17,-2.37559e-17,-3.55271e-15,7.10543e-15,-1.42109e-14,1.77636e-15,0.78,0.0424549,-0.049162,-0.0104159,0.738826,-2.9096,3.76507,-1.61794,0,0,0,0,0,0,0,0
0.779322,0.1,0.0226397,0.0282395,0.0298421,1.009,-3.14179,3.30094,-1.18822,0.066,-1.4654e-17,7.69602e-18,1.34121e-17,8.88178e-16,-3.55271e-15,3.55271e-15,0,0.78,-0.0568066,-0.0291706,0.0208359,-0.728602,2.6491,-3.05759,1.17043,0,0,0,0,0,0,0,0
0.708966,0.15,0.0669032,-0.00469873,0.00122094,-0.709089,2.65735,-3.24801,1.33427,0.066,1.31627e-17,1.52024e-17,-6.59985e-18,0,0,0,0,0.74,0.003808,0.0510529,0.00508086,1.08279,-3.72096,4.29225,-1.69177,0,0,0,0,0,0,0,0
1.07142,0.2,0.103567,0.0389143,-0.00337575,0.645522,-1.79774,1.55476,-0.441679,0.066,-1.81581e-17,2.66609e-18,2.29396e-17,2.22045e-16,-4.44089e-16,4.44089e-16,-1.11022e-16,0.77,0.0359391,-0.0297597,0.00453004,-0.342083,0.767035,-0.592363,0.156709,0,0,0,0,0,0,0,0
