Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.36886,-0.893,0,0,0,0.1184,-0.0721679,0.015645,-0.0011904,0.066,0,0,0,-1.04083e-17,1.04083e-17,-2.60209e-18,2.71051e-19,0.53,0,0,0,0.0313861,-0.0196629,0.00439225,-0.000345438,0,0,0,0,0,0,0,0
0.702554,0.05,0.181102,-0.150345,0.00186555,-1.13825,3.56709,-3.77249,1.38172,0.066,1.54172e-17,1.51427e-17,3.75927e-17,-3.55271e-15,7.10543e-15,-7.10543e-15,5.32907e-15,0.76,0.0373074,-0.0423006,-0.00728018,0.520672,-2.13193,2.81836,-1.22702,0,0,0,0,0,0,0,0
0.734044,0.1,0.0277859,0.0325434,0.0277268,1.20934,-4.07961,4.64531,-1.80501,0.066,4.95518e-17,5.09741e-18,-5.92951e-17,-8.88178e-16,0,0,0,0.76,-0.0461463,-0.0195611,0.0168942,-0.732373,2.79619,-3.42108,1.39014,0,0,0,0,0,0,0,0
0.623583,0.15,0.0748232,0.0195302,0.00131935,-0.969452,3.61387,-4.69267,2.10501,0.066,-4.48562e-17,1.99021e-18,6.22664e-17,1.77636e-15,-7.10543e-15,0,0,0.73,0.000629634,0.0322642,-0.00314003,0.177319,-0.739329,0.947623,-0.408992,0,0,0,0,0,0,0,0
1.07142,0.2,0.104196,0.047776,0.0184011,0.47679,-1.51832,1.36702,-0.395887,0.066,2.64307e-17,-1.3473e-17,-2.24867e-17,-2.22045e-16,4.44089e-16,-4.44089e-16,2.22045e-16,0.74,0.0180065,-0.0131727,-0.00461831,-0.160815,0.376561,-0.294169,0.0782114,0,0,0,0,0,0,0,0
