Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.09736,-0.893,0,0,0,0.156154,-0.105489,0.0255263,-0.00217413,0.066,0,0,0,-3.46945e-18,3.46945e-18,-8.67362e-19,1.6263e-19,0.78,0,0,0,-0.00155514,0.00129015,-0.000357532,3.32861e-05,0,0,0,0,0,0,0,0
0.810677,0,0.238921,-0.132263,-0.0189045,-0.51718,1.26295,-0.94641,0.23081,0.066,9.82955e-18,4.49343e-18,9.22532e-18,0,3.55271e-15,0,0,0.78,0.00306937,-0.000475593,-0.00075002,0.0125206,-0.0722302,0.0945471,-0.0379403,0,0,0,0,0,0,0,0
1.3718,0.1,0.0827954,0.0767911,0.00874436,0.407499,-0.918788,0.623235,-0.138225,0.066,1.02194e-17,-1.70166e-18,-4.36547e-18,-1.11022e-16,2.22045e-16,-1.11022e-16,2.77556e-17,0.78,-0.00523975,-0.00418871,-0.000933057,-0.0332603,0.0709042,-0.0470233,0.0103025,0,0,0,0,0,0,0,0
